FY	Month	Machine	Available_Time	Breakdown_Time	Breakdown_Count	Uptime	MTTR	MTBF	Availability
2023-24	Apr-23	KBA-1	34320	440	13	33880	33.85	2606.15	98.72
2023-24	Apr-23	KBA-2	34320	995	19	33325	52.37	1753.95	97.10
2023-24	Apr-23	KBA-3	34320	170	7	34150	24.29	4878.57	99.50
2023-24	Apr-23	CX-1	34320	445	6	33875	74.17	5645.83	98.70
2023-24	Apr-23	CX-2	34320	160	3	34160	53.33	11386.67	99.53
2023-24	May-23	KBA-1	34320	2135	34	32185	62.79	946.62	93.78
2023-24	May-23	KBA-2	34320	1185	17	33135	69.71	1949.12	96.55
2023-24	May-23	KBA-3	34320	740	11	33580	67.27	3052.73	97.84
2023-24	May-23	CX-1	34320	1135	8	33185	141.88	4148.12	96.69
2023-24	May-23	CX-2	34320	585	10	33735	58.50	3373.50	98.30
2023-24	Jun-23	KBA-1	34320	1255	25	33065	50.20	1322.60	96.34
2023-24	Jun-23	KBA-2	34320	510	14	33810	36.43	2415.00	98.51
2023-24	Jun-23	KBA-3	34320	880	10	33440	88.00	3344.00	97.44
2023-24	Jun-23	CX-1	34320	445	7	33875	63.57	4839.29	98.70
2023-24	Jun-23	CX-2	34320	430	10	33890	43.00	3389.00	98.75
2023-24	Jul-23	KBA-1	34320	1007	19	33313	53.00	1753.32	97.07
2023-24	Jul-23	KBA-2	34320	610	16	33710	38.12	2106.88	98.22
2023-24	Jul-23	KBA-3	34320	265	6	34055	44.17	5675.83	99.23
2023-24	Jul-23	CX-1	34320	580	8	33740	72.50	4217.50	98.31
2023-24	Jul-23	CX-2	34320	485	12	33835	40.42	2819.58	98.59
2023-24	Aug-23	KBA-1	34320	858	40	33462	21.45	836.55	97.50
2023-24	Aug-23	KBA-2	34320	1372	25	32948	54.88	1317.92	96.00
2023-24	Aug-23	KBA-3	34320	3120	11	31200	283.64	2836.36	90.91
2023-24	Aug-23	CX-1	34320	4290	8	30030	536.25	3753.75	87.50
2023-24	Aug-23	CX-2	34320	1492	23	32828	64.87	1427.30	95.65
2023-24	Sep-23	KBA-1	34320	2145	16	32175	134.06	2010.94	93.75
2023-24	Sep-23	KBA-2	34320	3813	9	30507	423.67	3389.67	88.89
2023-24	Sep-23	KBA-3	34320	2640	13	31680	203.08	2436.92	92.31
2023-24	Sep-23	CX-1	34320	6864	5	27456	1372.80	5491.20	80.00
2023-24	Sep-23	CX-2	34320	2451	14	31869	175.07	2276.36	92.86
2023-24	Oct-23	KBA-1	34320	1150	31	33170	37.10	1070.00	96.65
2023-24	Oct-23	KBA-2	34320	355	13	33965	27.31	2612.69	98.97
2023-24	Oct-23	KBA-3	34320	235	7	34085	33.57	4869.29	99.32
2023-24	Oct-23	CX-1	34320	140	5	34180	28.00	6836.00	99.59
2023-24	Oct-23	CX-2	34320	2535	31	31785	81.77	1025.32	92.61
2023-24	Nov-23	KBA-1	34320	880	22	33440	40.00	1520.00	97.44
2023-24	Nov-23	KBA-2	34320	295	10	34025	29.50	3402.50	99.14
2023-24	Nov-23	KBA-3	34320	530	13	33790	40.77	2599.23	98.46
2023-24	Nov-23	CX-1	34320	380	6	33940	63.33	5656.67	98.89
2023-24	Nov-23	CX-2	34320	210	6	34110	35.00	5685.00	99.39
2023-24	Dec-23	KBA-1	34320	929	26	33391	35.73	1284.27	97.29
2023-24	Dec-23	KBA-2	34320	920	21	33400	43.81	1590.48	97.32
2023-24	Dec-23	KBA-3	34320	795	17	33525	46.76	1972.06	97.68
2023-24	Dec-23	CX-1	34320	645	18	33675	35.83	1870.83	98.12
2023-24	Dec-23	CX-2	34320	635	9	33685	70.56	3742.78	98.15
2023-24	Jan-24	KBA-1	34320	1305	19	33015	68.68	1737.63	96.20
2023-24	Jan-24	KBA-2	34320	600	16	33720	37.50	2107.50	98.25
2023-24	Jan-24	KBA-3	34320	504	14	33816	36.00	2415.43	98.53
2023-24	Jan-24	CX-1	34320	325	9	33995	36.11	3777.22	99.05
2023-24	Jan-24	CX-2	34320	666	20	33654	33.30	1682.70	98.06
2023-24	Feb-24	KBA-1	34320	1155	21	33165	55.00	1579.29	96.63
2023-24	Feb-24	KBA-2	34320	570	16	33750	35.62	2109.38	98.34
2023-24	Feb-24	KBA-3	34320	975	16	33345	60.94	2084.06	97.16
2023-24	Feb-24	CX-1	34320	420	10	33900	42.00	3390.00	98.78
2023-24	Feb-24	CX-2	34320	320	4	34000	80.00	8500.00	99.07
2023-24	Mar-24	KBA-1	34320	1226	31	33094	39.55	1067.55	96.43
2023-24	Mar-24	KBA-2	34320	425	13	33895	32.69	2607.31	98.76
2023-24	Mar-24	KBA-3	34320	555	16	33765	34.69	2110.31	98.38
2023-24	Mar-24	CX-1	34320	265	5	34055	53.00	6811.00	99.23
2023-24	Mar-24	CX-2	34320	300	12	34020	25.00	2835.00	99.13
2024-25	Apr-24	KBA-1	34320	415	17	33905	24.41	1994.41	98.79
2024-25	Apr-24	KBA-2	34320	821	21	33499	39.10	1595.19	97.61
2024-25	Apr-24	KBA-3	34320	535	15	33785	35.67	2252.33	98.44
2024-25	Apr-24	CX-1	34320	920	28	33400	32.86	1192.86	97.32
2024-25	Apr-24	CX-2	34320	752	18	33568	41.78	1864.89	97.81
2024-25	May-24	KBA-1	34320	1715	33	32605	51.97	988.03	95.00
2024-25	May-24	KBA-2	34320	1060	20	33260	53.00	1663.00	96.91
2024-25	May-24	KBA-3	34320	867	19	33453	45.63	1760.68	97.47
2024-25	May-24	CX-1	34320	185	8	34135	23.12	4266.88	99.46
2024-25	May-24	CX-2	34320	743	21	33577	35.38	1598.90	97.84
2024-25	Jun-24	KBA-1	34320	2221	60	32099	37.02	534.98	93.53
2024-25	Jun-24	KBA-2	34320	1127	34	33193	33.15	976.26	96.72
2024-25	Jun-24	KBA-3	34320	908	35	33412	25.94	954.63	97.35
2024-25	Jun-24	CX-1	34320	630	14	33690	45.00	2406.43	98.16
2024-25	Jun-24	CX-2	34320	715	14	33605	51.07	2400.36	97.92
2024-25	Jul-24	KBA-1	34320	1549	53	32771	29.23	618.32	95.49
2024-25	Jul-24	KBA-2	34320	1388	40	32932	34.70	823.30	95.96
2024-25	Jul-24	KBA-3	34320	1399	35	32921	39.97	940.60	95.92
2024-25	Jul-24	CX-1	34320	1222	18	33098	67.89	1838.78	96.44
2024-25	Jul-24	CX-2	34320	563	15	33757	37.53	2250.47	98.36
2024-25	Aug-24	KBA-1	34320	1187	42	33133	28.26	788.88	96.54
2024-25	Aug-24	KBA-2	34320	1079	32	33241	33.72	1038.78	96.86
2024-25	Aug-24	KBA-3	34320	939	25	33381	37.56	1335.24	97.26
2024-25	Aug-24	CX-1	34320	235	9	34085	26.11	3787.22	99.32
2024-25	Aug-24	CX-2	34320	388	15	33932	25.87	2262.13	98.87
2024-25	Sep-24	KBA-1	34320	1024	23	33296	44.52	1447.65	97.02
2024-25	Sep-24	KBA-2	34320	1215	27	33105	45.00	1226.11	96.46
2024-25	Sep-24	KBA-3	34320	1128	33	33192	34.18	1005.82	96.71
2024-25	Sep-24	CX-1	34320	300	10	34020	30.00	3402.00	99.13
2024-25	Sep-24	CX-2	34320	488	13	33832	37.54	2602.46	98.58
2024-25	Oct-24	KBA-1	34320	1349	34	32971	39.68	969.74	96.07
2024-25	Oct-24	KBA-2	34320	1710	35	32610	48.86	931.71	95.02
2024-25	Oct-24	KBA-3	34320	1046	24	33274	43.58	1386.42	96.95
2024-25	Oct-24	CX-1	34320	284	8	34036	35.50	4254.50	99.17
2024-25	Oct-24	CX-2	34320	586	18	33734	32.56	1874.11	98.29
2024-25	Nov-24	KBA-1	34320	1465	24	32855	61.04	1368.96	95.73
2024-25	Nov-24	KBA-2	34320	1340	29	32980	46.21	1137.24	96.10
2024-25	Nov-24	KBA-3	34320	745	26	33575	28.65	1291.35	97.83
2024-25	Nov-24	CX-1	34320	740	24	33580	30.83	1399.17	97.84
2024-25	Nov-24	CX-2	34320	1910	9	32410	212.22	3601.11	94.43
2024-25	Dec-24	KBA-1	34320	1205	36	33115	33.47	919.86	96.49
2024-25	Dec-24	KBA-2	34320	1259	65	33061	19.37	508.63	96.33
2024-25	Dec-24	KBA-3	34320	1380	31	32940	44.52	1062.58	95.98
2024-25	Dec-24	CX-1	34320	2225	18	32095	123.61	1783.06	93.52
2024-25	Dec-24	CX-2	34320	1727	16	32593	107.94	2037.06	94.97
2024-25	Jan-25	KBA-1	34320	1450	24	32870	60.42	1369.58	95.78
2024-25	Jan-25	KBA-2	34320	1275	34	33045	37.50	971.91	96.28
2024-25	Jan-25	KBA-3	34320	1589	34	32731	46.74	962.68	95.37
2024-25	Jan-25	CX-1	34320	896	21	33424	42.67	1591.62	97.39
2024-25	Jan-25	CX-2	34320	2486	25	31834	99.44	1273.36	92.76
2024-25	Feb-25	KBA-1	34320	1085	19	33235	57.11	1749.21	96.84
2024-25	Feb-25	KBA-2	34320	1369	26	32951	52.65	1267.35	96.01
2024-25	Feb-25	KBA-3	34320	705	18	33615	39.17	1867.50	97.95
2024-25	Feb-25	CX-1	34320	140	5	34180	28.00	6836.00	99.59
2024-25	Feb-25	CX-2	34320	2214	12	32106	184.50	2675.50	93.55
2024-25	Mar-25	KBA-1	34320	3813	9	30507	423.67	3389.67	88.89
2024-25	Mar-25	KBA-2	34320	1806	19	32514	95.05	1711.26	94.74
2024-25	Mar-25	KBA-3	34320	2288	15	32032	152.53	2135.47	93.33
2024-25	Mar-25	CX-1	34320	5720	6	28600	953.33	4766.67	83.33
2024-25	Mar-25	CX-2	34320	3120	11	31200	283.64	2836.36	90.91
2025-26	Apr-25	KBA-1	34320	1134	30	33186	37.80	1106.20	96.70
2025-26	Apr-25	KBA-2	34320	994	19	33326	52.32	1754.00	97.10
2025-26	Apr-25	KBA-3	34320	333	12	33987	27.75	2832.25	99.03
